"Section","Characteristic","Display","Overall","MIMIC-IV","AmsterdamUMCdb","Chinese"
"Cohort","Study population","n",,,,
"Outcome","28-day all-cause mortality","n (%)",,,,
"Demographics","Age","mean (SD)",,,,
"Demographics","Age","median [IQR]",,,,
"Demographics","Male sex","n (%)",,,,
"Demographics","BMI","mean (SD)",,,,
"Demographics","BMI","median [IQR]",,,,
"Comorbidity","COPD","n (%)",,,,
"Disease severity","Baseline SOFA","mean (SD)",,,,
"Disease severity","Baseline SOFA","median [IQR]",,,,
"Disease severity","Baseline lactate","mean (SD)",,,,
"Disease severity","Baseline lactate","median [IQR]",,,,
"Acid-base and oxygenation","Day 1 TWA-PaCO2","mean (SD)",,,,
"Acid-base and oxygenation","Day 1 TWA-PaCO2","median [IQR]",,,,
"Acid-base and oxygenation","Baseline pH","mean (SD)",,,,
"Acid-base and oxygenation","Baseline pH","median [IQR]",,,,
"Acid-base and oxygenation","Baseline HCO3","mean (SD)",,,,
"Acid-base and oxygenation","Baseline HCO3","median [IQR]",,,,
"Acid-base and oxygenation","Baseline PaO2/FiO2","mean (SD)",,,,
"Acid-base and oxygenation","Baseline PaO2/FiO2","median [IQR]",,,,
"Treatment support","Mechanical ventilation within 24 h","n (%)",,,,
"Treatment support","Vasopressor use within 24 h","n (%)",,,,
"Treatment support","CRRT/RRT within 24 h","n (%)",,,,
